Article Date,Title,Link,Desc
22/7/2010,W32.Stuxnet — Network Information ,https://community.broadcom.com/symantecenterprise/communities/community-home/librarydocuments/viewdocument?DocumentKey=959c7647-f0e6-4891-a980-d357493dfcae&CommunityKey=1ecf5f55-9545-44d6-b0f4-4e4a7f5f5e68&tab=librarydocuments,"Stuxnet contacts two remote servers for command and control, and until last week those domains were pointing to a server hosted in Malaysia. Once we identified those domains, we redirected traffic away from the C&C servers thereby preventing them from controlling the infected machines and retrieving stolen information."
24/9/2010,In: Gangs behind credit card fraud held,https://www.databreaches.net/in-gangs-behind-credit-card-fraud-held/,Fifteen persons have been arrested for indulging in credit card fraud by obtaining card details of customers from some petrol bunks in the city.
18/11/2010,"Federal Reserve Hacker Steals 400,000 Credit Card Numbers: Feds",https://www.databreaches.net/federal-reserve-hacker-steals-400000-credit-card-numbers-feds/,"A Malaysian man hacked his way into the Federal Reserve Bank’s computers in Cleveland and also had more than 400,000 stolen credit card numbers when Secret Service agents finally caught up with him, federal prosecutors said."
18/11/2010,Malaysian National Indicted for Hacking into Federal Reserve Bank,https://www.databreaches.net/malaysian-national-indicted-for-hacking-into-federal-reserve-bank/,"A four-count indictment was returned by a federal grand jury in Brooklyn today charging Lin Mun Poo, a resident and citizen of Malaysia, with hacking into a computer network of the Federal Reserve Bank and possessing more than 400,000 stolen credit and debit card numbers.1 The defendant was arrested on a criminal complaint shortly after his arrival in the United States on October 21, 2010, and has been held in custody since then. The case has been assigned to United States District Judge Dora L. Irizarry."
3/3/2011,"Hospital Directed to Pay Patient RM 150,000 for Disclosing Confidential (and Erroneous!) Information about HIV Status",https://www.databreaches.net/hospital-directed-to-pay-patient-rm-150000-for-disclosing-confidential-and-erroneous-information-about-hiv-status/,"A Malaysian hospital has been directed to pay a man RM150,000 for the breach of privacy. According to the arguments presented during judicial proceedings, it was informed by the man’s attorney that the hospital had shot letters to his family, friends and employers informing them that the man is HIV positive."
13/4/2011,"Malaysian National Admits to Hacking into the Federal Reserve Bank of Cleveland, FedComp, and Others",https://www.databreaches.net/malaysian-national-admits-to-hacking-into-the-federal-reserve-bank-of-cleveland-fedcomp-and-others/,"Lin Mun Poo, 32, a resident and citizen of Malaysia, pleaded guilty this morning in federal court in Brooklyn to possessing stolen credit and debit card numbers.  Poo also admitted that he compromised a computer server belonging to the Federal Reserve Bank, and that he installed a malicious code onto that server."
10/6/2011,"MY: 1pengguna site hit by security breach, 2,000 accounts exposed (updated)",https://www.databreaches.net/my-1pengguna-site-hit-by-security-breach-2000-accounts-exposed/,"The government’s brand new price check portal has been hit by a security breach, allowing hackers to obtain details such as email addresses and contact information of over 2,000 registered users which security experts say can be used to steal financial data in a roundabout way."
1/7/2011,"Anonymous, who are they and what do they do",https://www.databreaches.net/anonymous-who-are-they-and-what-do-they-do/,"Anonymous has grown to be known and seen as the worlds largest hacktivist group that doesn’t have a simple administration, set rule book, or classed leaders by acts in what could be considered a orderly fashion that’s well coordinated . Anonymous is made up of anyone. The attacks that anonymous has carried out over the years have gained more and more media attention that to the point now in 2011 we see it as a every day headline some where in the world. These attacks that are carried out are normally in a very well planned operation towards a certain subject or problem. These operations can range from anything like the Orlando Operation to the said to be menacing Anti Security Operation, of coarse there has been many more over years with big and small governments being attacks, defaced, exposed. Anonymous has targets like hbGary Federal, master card,Sony and even Malaysian governments down to Zimbabwe and Tunisia"
3/7/2011,Report: M’sia group hacked S’pore NParks site,https://www.databreaches.net/report-msia-group-hacked-spore-nparks-site/,"The Malaysian hacking group H3x4 Crew has been identified as the ones responsible for breaching Singapore’s National Parks Board (NParks) Web site two weeks ago, according to a report."
28/7/2011,"Leaks from @NetBashers, DATALEAK, Cyb3rSec Crew and CMDL1NE",https://www.databreaches.net/leaks-from-netbashers-dataleak-cyb3rsec-crew-and-cmdl1ne/,"Well been a few quiet hours for us, while we sort out our new hosting(coming soon), meanwhile the hackers have been still going hard out with a bunch of different leaks being done over night. here just a few things, First comes from @NetBashers Fits right in with #oppaypal in a way, its a leak of ebay employee details/passwords usernames.. https://pastebin.com/MBBYDRgF Second from netbashers is a huge list of emails and hashed passwords, https://pastebin.com/ygQdbi0C Then we move on to DATALEAK, Another 300 passwords/emails leaks: https://pastebin.com/juagUnk6 Another one also from CMDL1NE: https://pastebin.com/h8VNx7E7 And one from a Malaysian crew Cyb3rSec Crew:https://pastebin.com/Mvie4Ej8 and some playspan leaks: https://pastebin.com/t5q3QEXD"
30/7/2011,seminars.com.sg & www.goldsgym.co.id hacked by Cyb3rSec Crew,https://www.databreaches.net/seminars-com-sg-www-goldsgym-co-id-hacked-by-cyb3rsec-crew/,"Cyb3rSec Crew, a group of Malaysian hackers have released another lot of information,. this time its from 2 different websites, both dumps come as user names/e-mails/text passwords… The two sites that have been hacked are seminars.com.sg, fairly self explained name, but yeah Seminars.com.sg is an online directory of seminars, workshops and conferences held in Singapore. the other is www.goldsgym.co.id, Gold’s Gym has been the authority on fitness since 1965 dating back to the original Gold’s Gym in Venice, California. It was the place for serious fitness, and those who are looking for result. the site that has been hacked is the Indonesia branch. Leak: https://pastebin.com/NgY8eZhz Leak: https://pastebin.com/NpzaA6vt Cyb3rSec Crew on facebook"
14/8/2011,dump of shells from Cyb3rSec Crew,https://www.databreaches.net/dump-of-shells-from-cyb3rsec-crew/,https://www.facebook.com/pages/Cyb3rSeC-Crew-Malaysian-Crew/207390472645570 .: We Not Alone :. .: We Know To Find :. .: We are Cyb3r S3cur!t7 Cr3w :. .: Hacking Just To Learn :. https://www.zone-h.org/archive/notifier=Cyb3rSec https://zone-m.co.cc/hacker/?user=Cyb3rSec +++++++++++++++++++++++++++++++++++++++++++++++++++++++ Target : https://kmte.ukm.ums.ac.id https://pastebin.com/4NirUc4Z
16/8/2011,Centre for Strategic and International Studies Hacked and data leaked,https://www.databreaches.net/centre-for-strategic-and-international-studies-hacked-and-data-leaked/,Cyb3rSec Crew | Malaysian Crew has just released a dimp of accounts from the CSIS- Center for strategic and international studies. The center that was hacked was the jakarta outlet and it seems just accounts have been leaked so far. The CSIS specialize’s in teaching securiy based studies and started in the united states i
17/8/2011,Geosistem & Kementerian hacked by Cyb3rSec Crew,https://www.databreaches.net/geosistem-kementerian-hacked-by-cyb3rsec-crew/,Cyb3rSec Crew has hacked 2  websites Geosistem & Kementerian and leaked data onto pastebin. https://www.geosistem.co.id/history.html https://pastebin.com/5ktZaMsw https://www.deptan.go.id/index1.php https://pastebin.com/WNNJURmF CyberSec Crew on facebook
29/8/2011,"National University English Debating Championship hacked, leaked and defaced by Cyb3rSec Crew",https://www.databreaches.net/national-university-english-debating-championship-hacked-leaked-and-defaced-by-cyb3rsec-crew/,National University English Debating Championship has been hacked and defaced by Cyb3rSec Crew in one of the latest attacks from them. The hack has resulted in a leak of staff and user accounts; hundreds of them.
5/11/2011,(update) Federal Reserve Bank hacker gets 10 year sentence,https://www.databreaches.net/update-federal-reserve-bank-hacker-gets-10-year-sentence/,A Malaysian man who pleaded guilty to conducting a credit-card scheme and who was accused of hacking the Federal Reserve’s computers got a 10-year prison sentence.
27/2/2012,Malaysia Yellow Pages WebSite Hacked and Data Leaked by eMP3R0r TEAM,https://www.databreaches.net/malaysia-yellow-pages-website-hacked-and-data-leaked-by-emp3r0r-team/,"Malaysia Yellow Pages has become one of the latest yellow pages websites to be hacked and have data leaked by hackers this week. Hackers going under the team name of eMP3R0r TEAM have tipped us off to an attack that has leaked about 40 accounts from the websites database. The leak is in the format of usernames, emails passwords which are encrypted and come from the domain https://www.yellowpages.com.my. https://pastebin.com/Uaw8G7V4 Already this week we have seen Lebanese Yellow Pages Website hacked as well. https://ozdc.net/dumps.php?dump=651"
23/3/2012,Mazda Malaysia Hacked and Defaced,https://www.databreaches.net/mazda-malaysia-hacked-and-defaced/,A Malaysian Mazda dealer mazda.my who is part of the main Mazda motor group has been hacked and left defaced. This attack adds to the on going attacks that the motor industry is seeing on its websites. The sites deface is a main page deface and has been carried out by Dboyz VVIp (Rileks Crew) who in the past have carried out other defacings. The defacing has a background song which is very unusal for defacings
14/1/2013,“Red October” Diplomatic Cyber Attacks Investigation,https://securelist.com/red-october-diplomatic-cyber-attacks-investigation/36740/,"In October 2012, Kaspersky Lab’s Global Research & Analysis Team initiated a new threat research after a series of attacks against computer networks of various international diplomatic service agencies. A large scale cyber-espionage network was revealed and analyzed during the investigation, which we called “Red October” (after famous novel “The Hunt For The Red October”)."
24/1/2013,"britam defence hacked, confidential documents leaked, site offline",https://www.databreaches.net/britam-defence-hacked-confidential-documents-leaked-site-offline/,"Hello, I’m JAsIrX and I will share with you some documents downloaded after hacking Britam Defence server. Its website is located on the Malaysian server."
26/1/2013,A Look into the Britam Defence Data Leak Files,https://www.databreaches.net/a-look-into-the-britam-defence-data-leak-files/,In the hackers release note they made it clear they got the data from a Malaysian based server and from a chart found within this data its shocking to see that Britam is using the security of McAfee but is not implementing this on the said server which is listed as a mail server
7/10/2013,"45,000+ Penang Marathon Participants Personal Details Leaked",https://www.databreaches.net/45000-penang-marathon-participants-personal-details-leaked/,A hacker using the handle Ninjalong has leaked a heap of personal details from a Malaysian based Marathon. The Penang Bridge Marathon 2013 is being held on the 17th of November and it appears that its web site security has failed to protect the details of those who are registering and making payments for T-Shirts.
18/3/2014,Missing Malaysia Airlines Flight 370 Scam Arrives Via Email,https://www.trendmicro.com/vinfo/my/threat-encyclopedia/spam/3511/missing-malaysia-airlines-flight-370-scam-arrives-via-email,"When news of the missing Malaysia Airlines Flight 370 was reported earlier this month, many people were bewildered and shocked. A number of speculations have been the topic of discussion in news as well as in social media. Cybercriminals, proving that they will use any tragedy to make money with, took advantage of the said news by using the missing passengers in MH370 as bait in their scam."
18/3/2014,MA-380.032014: MyCERT Alert - Missing Malaysia Airlines MH370 Plane Found Hoax,https://www.mycert.org.my/portal/advisory?id=MA-380.032014,"In regards to the recent media news related to the missing Malaysia Airlines MH370, MyCERT had been receiving several unverified reports regarding the discovery of the purportedly missing Malaysian Airlines MH370. However, MyCERT had checked and verified that the reports through the social networking sites are hoax in nature and contain misleading information regarding the missing Malaysian Airlines MH370."
24/3/2014,MA-381.032014: MyCERT Alert - Malware Related to Missing Malaysia Airlines MH370 Plane,https://mycert.org.my/portal/advisory?id=MA-381.032014,"In regards to the recent media news related to the missing Malaysia Airlines MH370, MyCERT had observed a Facebook Apps, hosted on a malicious domain, which once clicked on the Apps, will infect user's computers. This malware uses Malaysia Airlines Flight 370 as its social engineering to lure potential victims."
18/6/2014,"File containing asylum seekers’ data downloaded in China, Russia and Egypt",https://www.databreaches.net/file-containing-asylum-seekers-data-downloaded-in-china-russia-and-egypt-exclusive-document-that-australian-immigration-department-inadvertently-published-was-accessed-in-16-countries/,"A file containing the personal details of almost 10,000 people in detention was accessed in 16 countries, including China, Egypt, Malaysia, Pakistan and Russia, raising further concerns that asylum seekers returned to their countries of origin or their families may be at risk of persecution."
20/08/2014,“El Machete”,https://securelist.com/el-machete/66108/,"Some time ago, a Kaspersky Lab customer in Latin America contacted us to say he had visited China and suspected his machine was infected with an unknown, undetected malware. While assisting the customer, we found a very interesting file in the system that is completely unrelated to China and contained no Chinese coding traces. At first look, it pretends to be a Java related application but after a quick analysis, it was obvious this was something more than just a simple Java file.  It was a targeted attack we are calling “Machete”."
23/9/2014,MA-416.092014: MyCERT Alert - Banker Malware Targeting Malaysian Internet Banking User,https://mycert.org.my/portal/advisory?id=MA-416.092014,"MyCERT had received several reports regarding a malware that targets Malaysian Internet banking customers. Based on our initial analysis, we found this campaign uses the Zeus banking malware family as its Modus Operandi in this campaign."
3/11/2014,MA-425.112014: MyCERT Alert - Mobile Botnet Targeting Malaysian Smartphone Users,https://mycert.org.my/portal/advisory?id=MA-425.112014,"MyCERT received a report from our foreign counterpart regarding a mobile botnet that spreads malware via SMS messages. Android  smartphone users who clicked on the link in the SMS message, inadvertantly installed a  malicious Android Package (APK) that took control of their mobile phone."
10/11/2014,The Darkhotel APT,https://securelist.com/the-darkhotel-apt/66779/,"This APT precisely drives its campaigns by spear-phishing targets with highly advanced Flash zero-day exploits that effectively evade the latest Windows and Adobe defenses, and yet they also imprecisely spread among large numbers of vague targets with peer-to-peer spreading tactics. Moreover, this crew’s most unusual characteristic is that for several years the Darkhotel APT has maintained a capability to use hotel networks to follow and hit selected targets as they travel around the world. These travelers are often top executives from a variety of industries doing business and outsourcing in the APAC region."
24/11/2014,"THE REGIN PLATFORM
NATION-STATE OWNAGE
OF GSM NETWORKS",https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08070305/Kaspersky_Lab_whitepaper_Regin_platform_eng.pdf,"In the spring of 2012, following a Kaspersky Lab presentation on the unusual facts surrounding the Duqu malware (http://www.kaspersky.com/about/press/major_malware_outbreaks/duqu), a security researcher contacted us and mentioned that Duqu reminded him of another high-end malware incident. Although he couldn’t share a sample, the researcher mentioned ‘Regin’, a type of malware attack that is now dreaded by security administrators in many government agencies around the world."
24/11/2014,Regin: nation-state ownage of GSM networks,https://securelist.com/regin-nation-state-ownage-of-gsm-networks/67741/,"In the spring of 2012, following a Kaspersky Lab presentation on the unusual facts surrounding the Duqu malware, a security researcher contacted us and mentioned that Duqu reminded him of another high-end malware incident. Although he couldn’t share a sample, the third-party researcher mentioned the “Regin” name, a malware attack that is now dreaded by many security administrators in governmental agencies around the world."
29/11/2014,"INCENSER, or how NSA and GCHQ are tapping internet cables",https://www.electrospaces.net/2014/11/incenser-or-how-nsa-and-gchq-are.html,"Recently disclosed documents show that the NSA's fourth-largest cable tapping program, codenamed INCENSER, pulls its data from just one single source: a submarine fiber optic cable linking Asia with Europe."
2/12/2014,Three Members Of New York Cell Of International Cybercrime Organization Sentenced For Roles In $45 Million Cyberattack,https://www.databreaches.net/three-members-of-new-york-cell-of-international-cybercrime-organization-sentenced-for-roles-in-45-million-cyberattack/,"On November 25 in federal court in Brooklyn, New York, Elvis Rafael Rodriguez, age 25 of Yonkers, was sentenced to 34 months’ imprisonment for his participation in an international cybercrime organization responsible for two cyberattacks that inflicted $45 million in losses on the global financial system in a matter of hours. Two of Rodriguez’s co-defendants were previously sentenced for their roles in the conspiracy — on October 27, 2014, Evan Peña, age 37 of Yonkers, was sentenced to 22 months’ incarceration, and on October 24, 2014, Saul Genao, age 25 of Yonkers, was sentenced to 15 months’ incarceration. Rodriguez, Peña and Genao were also ordered to pay $2,782,597 in restitution and $2,400,000 in forfeiture. Rodriguez, Peña, Genao and their 10 co-defendants pled guilty to charges stemming from their participation in the scheme."
22/01/2015,An analysis of Regin’s Hopscotch and Legspin,https://securelist.com/an-analysis-of-regins-hopscotch-and-legspin/68438/,"With high profile threats like Regin, mistakes are incredibly rare. However, when it comes to humans writing code, some mistakes are inevitable. Among the most interesting things we observed in the Regin malware operation were the forgotten codenames for some of its modules."
16/2/2015,Equation: The Death Star of Malware Galaxy,https://securelist.com/equation-the-death-star-of-malware-galaxy/68750/,"One sunny day in 2009, Grzegorz Brz?czyszczykiewicz1 embarked on a flight to the burgeoning city of Houston to attend a prestigious international scientific conference. As a leading scientist in his field, such trips were common for Grzegorz. Over the next couple of days, Mr Brz?czyszczykiewicz exchanged business cards with other researchers and talked about  the kind of important issues such high level scientists would discuss (which is another way of saying “who knows?”). "
01/04/2015,"APT30 AND THE MECHANICS
OF A LONG-RUNNING CYBER ESPIONAGE OPERATION",https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf,"APT30 is noted for sustained activity, but also for successfully maintaining the same tools, tactics, and infrastructure since at least 2005."
3/4/2015,The Inside Story Of How Pakistan Took Down One of the FBI’s Most Wanted Cybercriminals,https://www.databreaches.net/the-inside-story-of-how-pakistan-took-down-one-of-the-fbis-most-wanted-cybercriminals/,"Just before dawn on Feb. 14, in a quiet residential suburb of Karachi, Pakistan’s chief cybersecurity officer, Mir Mazhar Jabbar, stood silently outside the home of Noor Aziz Uddin — a man the FBI calls one of its “most wanted” cybercriminals. Jabbar knocked. Standing behind Jabbar was a team of local Karachi police officers, waiting to raid Uddin’s home and place him under arrest."
13/4/2015,FireEye: Group spied on Malaysia for 10 years,https://www.keithrozario.com/2015/04/fireeye-group-spied-on-malaysia-for-10-years.html,"The team over at the FireEye threat intelligence published a special report(pdf) detailing an long running (and still on-going) cyber-espionage operation that has targeted multiple entities in ASEAN countries, including Malaysia. The program was reported to be running for more than a decade, and the sustained period coupled with the list of targets the program had, led FireEye to believe it to be a state-sponsored activity, as no other other type of organization would be able to afford such a professionally run program, operated for such a long period of time with no discernible source of income."
15/04/2015,The Chronicles of the Hellsing APT: the Empire Strikes Back,https://securelist.com/the-chronicles-of-the-hellsing-apt-the-empire-strikes-back/69567/,"One of the most active APT groups in Asia, and especially around the South China Sea area is “Naikon”. Naikon plays a key part in our story, but the focus of this report is on another threat actor entirely; one who came to our attention when they hit back at a Naikon attack."
1/5/2015,THE MsnMM CAMPAIGNS,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205555/TheNaikonAPT-MsnMM1.pdf,"Over time, the Naikon APT appears to have used specific toolsets against organizations within a designated country, as though each campaign was focused on one country. There is sometimes crossover between campaigns in several ways: the backdoors they deliver, the infiltration techniques, and the overall infrastructure. Backdoor functionality can also cross campaigns and tools. For example, sometimes we see an “inject” variant dropping a “sys10” backdoor. Or a naikon backdoor dropping a rarstone backdoor. "
14/5/2015,The Naikon APT,https://securelist.com/the-naikon-apt/69953/,"Our recent report, “The Chronicles of the Hellsing APT: the Empire Strikes Back” began with an introduction to the Naikon APT, describing it as “One of the most active APTs in Asia, especially around the South China Sea”. Naikon was mentioned because of its role in what turned out to be a unique and surprising story about payback. It was a Naikon attack on a Hellsing-related organization that first introduced us to the Hellsing APT.  Considering the volume of Naikon activity observed and its relentless, repeated attack attempts, such a confrontation was worth looking into, so we did."
15/5/2015,"Naikon Hackers Take Aim At Asia-Pacific Nations, Warns Kaspersky",https://www.databreaches.net/naikon-hackers-take-aim-at-asia-pacific-nations-warns-kaspersky/,Security specialists Kaspersky Lab has warned of an active hacker collective that goes by the name of Naikon and is targeting a number of countries in the South China Sea area.
17/06/2015,The Spring Dragon APT,https://securelist.com/the-spring-dragon-apt/70726/,"Let’s examine a couple of interesting delivery techniques from an APT active for the past several years, the Spring Dragon APT. A paper released today by our colleagues at Palo Alto Networks presented a portion of data on this crew under the label “the Lotus Blossom Operation“, likely named for the debug string present in much of the “Elise” codebase since at least 2012: “d:\lstudio\projects\lotus\…”."
24/6/2015,5 Facts: Petrosaudi Ex-Employee Justo Caught For 1MDB Info Leak,https://www.databreaches.net/5-facts-petrosaudi-ex-employee-justo-caught-for-1mdb-info-leak/,"Police have arrested a Swiss national they claim leaked information of a Saudi-based energy company to a UK-based news website. Xavier Andre Justo, 49, was arrested at a house on Koh Samui on Monday. It was said to be part of a plot to discredit Malaysian Prime Minister Najib Razak, Malaysian sources said yesterday."
5/7/2015,"Hacking Team hacked, all files dumped (Update 2)",https://www.databreaches.net/hacking-team-hacked-all-files-dumped/,"Expect to see more on this one after folks have a chance to explore the leaked data. So far, I don’t see anyone claiming credit for this hack, but perhaps I’ve missed something. Note: DataBreaches.net emailed Hacking Team to ask for a response to the claimed hack and data dump, and will update this post if a response is received."
26/7/2015,I was offered $2.7m for stolen data: Ex-PetroSaudi employee Xavier Andre Justo on the 1MDB saga,https://www.databreaches.net/i-was-offered-2-7m-for-stolen-data-ex-petrosaudi-employee-xavier-andre-justo-on-the-1mdb-saga/,"Swiss national Xavier Andre Justo – who is now in jail in Thailand in connection with trying to blackmail his former employer, PetroSaudi, which is entangled in a huge scandal involving the Malaysian government – has claimed that he was promised US$2 million (S$2.7 million) in exchange for data he stole from his former employer."
14/9/2015,"Police probe on 1MDB data theft can’t proceed without Justo, says IGP",https://www.databreaches.net/police-probe-on-1mdb-data-theft-cant-proceed-without-justo-says-igp/,Malaysia’s top policeman said Bukit Aman is still waiting for their Thai counterparts to respond to its request to record a statement from former PetroSaudi International (PSI) executive Xavier Andre Justo in connection to its investigation on an opposition lawmaker’s alleged offer to buy stolen data on 1Malaysia Development Berhad (1MDB).
15/10/2015,"Feds charge Ardit Ferizi, a/k/a @Th3Dir3ctorY, with creating hit list of American military, govt employees for ISIS",https://www.databreaches.net/feds-charge-ardit-ferizi-aka-th3dir3ctory-with-creating-hit-list-of-american-military-govt-employees-for-isis/,"Malaysian authorities have detained Kosovo citizen Ardit Ferizi in Malaysia on a U.S. provisional arrest warrant alleging that he provided material support to the Islamic State of Iraq and the Levant (ISIL), a designated foreign terrorist organization, and committed computer hacking and identity theft violations in conjunction with the theft and release of personally identifiable information (PII) of U.S. service members and federal employees.  The criminal complaint was unsealed today.  The United States is seeking his extradition to the U.S. Attorney’s Office of the Eastern District of Virginia to stand trial."
22/10/2015,"NATO, White House hackers tried to pwn MH17 air disaster probe",https://www.databreaches.net/nato-white-house-hackers-tried-to-pwn-mh17-air-disaster-probe/,The Pawn Storm hackers who tried to infiltrate NATO and White House networks have been spotted bothering another sensitive target: the team investigating the downed Malaysia Airlines MH17 flight.
31/12/2015,MY: Parents and students urged to complain about security breach of their data,https://www.databreaches.net/my-parents-and-students-urged-to-complain-about-security-breach-of-their-data/,The Personal Data Protection Department (JPDP) urges parents of students whose personal data were reportedly leaked to demand an explanation from the Education Ministry.
19/1/2016,Employee Data More Exposed Than Customer Data: Study,https://www.databreaches.net/employee-data-more-exposed-than-customer-data-study/,"Midsized companies do a better job protecting their customer information than that of their own employees or their internal intellectual property, a new study found. Nearly one-third of companies and organizations with 100- to 2,000 employees in the US, Canada, India, Australia, Japan, and Malaysia, say they don’t regularly encrypt their employees’ bank information, and 43% don’t always encrypt human resources files. Nearly half say they don’t routinely encrypt employee health information, according to the Vanson Bourne survey conducted on behalf of security vendor Sophos."
27/1/2016,Islamic State-linked hacker makes first US appearance in federal court,https://www.databreaches.net/islamic-state-linked-hacker-makes-first-us-appearance-in-federal-court/,A Kosovar citizen accused of hacking the personal data of more than a thousand U.S. officials and sending it to Islamic State militants in Syria appeared in U.S. federal court in Virginia on Wednesday.
26/2/2016,MY: Personal health data theft scary,https://www.databreaches.net/my-personal-health-data-theft-scary/,[CAP] is distressed by the recent news that a group of hackers had hacked into the systems of both government and private hospitals and stolen the personal health data of tens of thousands of individuals – data which is then sold to pharmaceutical companies through information selling syndicates.
16/6/2016,ISIL-Linked Hacker Pleads Guilty to Providing Material Support,https://www.databreaches.net/isil-linked-hacker-pleads-guilty-to-providing-material-support/,"Ardit Ferizi, aka Th3Dir3ctorY, 20, a citizen of Kosovo, pleaded guilty today before U.S. District Judge Leonie M. Brinkemaof the Eastern District of Virginia to providing material support to the Islamic State of Iraq and the Levant (ISIL), a designated foreign terrorist organization, and accessing a protected computer without authorization and obtaining information."
16/6/2016,"Over 2,100 servers in Malaysia hacked",https://www.databreaches.net/over-2100-servers-in-malaysia-hacked/,Malaysia’s national cybersecurity agency said it detected intrusions in several local servers for years and issued advisories to victims but ignorance was still making them easy targets for hackers.
